Address	Length	Type	String
.rdata:006235EC	00000011	C	META_ATTACK_MASK
.rdata:00623600	00000018	C	SUPERCHARGE_ATTACK_MASK
.rdata:00623618	00000011	C	AOE2_ATTACK_MASK
.rdata:0062362C	00000010	C	AOE_ATTACK_MASK
.rdata:0062363C	0000000C	C	ATTACK_MASK
.rdata:00623648	00000007	C	INPUTS
.rdata:00623650	00000009	C	MOMENTUM
.rdata:0062365C	0000000A	C	STUN_TIME
.rdata:00623668	0000000B	C	EVADE_TYPE
.rdata:00623674	0000000B	C	BLOCK_TYPE
.rdata:00623680	00000016	C	BLOCK_LEVEL_INCREMENT
.rdata:00623698	0000000D	C	METER_POINTS
.rdata:006236A8	0000001E	C	SUPERCHARGE_DAMAGE_MULTIPLIER
.rdata:006236C8	00000019	C	PLAYER_DAMAGE_MULTIPLIER
.rdata:006236E4	00000017	C	PROP_DAMAGE_MULTIPLIER
.rdata:006236FC	00000008	C	DOT_PFX
.rdata:00623704	00000008	C	DOT_RND
.rdata:0062370C	0000000D	C	DOT_INTERVAL
.rdata:0062371C	0000000A	C	DOT_COUNT
.rdata:00623728	00000010	C	DAMAGES_ENEMIES
.rdata:00623738	00000010	C	DAMAGES_FRIENDS
.rdata:00623748	0000000D	C	LOCK_HEADING
.rdata:00623758	0000000C	C	AOE2_RADIUS
.rdata:00623764	0000000C	C	AOE2_DAMAGE
.rdata:00623770	0000000E	C	AOE_DIRECTION
.rdata:00623780	0000000B	C	AOE_DAMAGE
.rdata:0062378C	00000008	C	AOE_FOV
.rdata:00623794	0000000B	C	AOE_RADIUS
.rdata:006237A0	0000000B	C	IMPACT_PFX
.rdata:006237AC	00000007	C	DAMAGE
.rdata:006237D0	0000000F	C	AudioDuckingDB
.rdata:006237E0	00000007	C	volume
.rdata:006237E8	00000009	C	time_out
.rdata:006237F4	00000008	C	time_in
.rdata:006237FC	00000009	C	category
.rdata:0062381C	0000000C	C	AudioHookDB
.rdata:00623828	00000009	C	PRIORITY
.rdata:00623854	0000000F	C	AutoTraverseDB
.rdata:00623864	0000000C	C	SNAP_CAMERA
.rdata:00623870	0000001A	C	FAILURE_ANGULAR_THRESHOLD
.rdata:0062388C	00000010	C	FAILURE_ANIM_ID
.rdata:0062389C	00000012	C	ANGULAR_THRESHOLD
.rdata:006238B0	0000000D	C	AUTO_CORRECT
.rdata:006238C0	00000008	C	COLLIDE
.rdata:006238C8	00000010	C	ANIM_BLEND_TIME
.rdata:006238D8	0000000D	C	WALK_ANIM_ID
.rdata:006238E8	00000008	C	ANIM_ID
.rdata:0062390C	00000009	C	CameraDB
